date_code,swemwbs_score,type_of_tenure,household_type,age,gender,limiting_condition
2017,24.98,All,All,35-64 years,All,All
2017,23.96,All,All,35-64 years,All,All
2017,25.91,All,All,65 years and over,All,All
2017,25.06,All,All,16-34 years,All,All
2017,26,All,All,16-34 years,All,All
2017,25.44,All,All,65 years and over,All,All
2017,25.63,All,All,65 years and over,All,All
2017,24.09,All,All,16-34 years,All,All
2017,24.91,All,All,35-64 years,All,All
2017,24.74,All,All,16-34 years,All,All
2017,25.02,All,All,65 years and over,All,All
2017,24.62,All,All,35-64 years,All,All
2017,24.44,All,All,16-34 years,All,All
2017,24.58,All,All,16-34 years,All,All
2017,25.13,All,All,35-64 years,All,All
2017,25.02,All,All,65 years and over,All,All
2017,25.43,All,All,16-34 years,All,All
2017,24.44,All,All,35-64 years,All,All
2017,24.95,All,All,35-64 years,All,All
2017,25.54,All,All,65 years and over,All,All
2017,24.68,All,All,35-64 years,All,All
2017,24.76,All,All,65 years and over,All,All
2017,23.71,All,All,16-34 years,All,All
2017,23.75,All,All,35-64 years,All,All
2017,24.67,All,All,65 years and over,All,All
2017,24.29,All,All,16-34 years,All,All
2017,24.62,All,All,35-64 years,All,All
2017,24.76,All,All,65 years and over,All,All
2017,25.02,All,All,65 years and over,All,All
2017,24.78,All,All,65 years and over,All,All
2017,24.3,All,All,16-34 years,All,All
2017,25.18,All,All,16-64 years,All,All
2017,24.34,All,All,16-64 years,All,All
2017,24.66,All,All,16-64 years,All,All
2017,24.44,All,All,16-34 years,All,All
2017,24.62,All,All,35-64 years,All,All
2017,24.04,All,All,16-34 years,All,All
2017,24.39,All,All,35-64 years,All,All
2017,24.28,All,All,35-64 years,All,All
2017,26.47,All,All,16-34 years,All,All
2017,24.77,All,All,65 years and over,All,All
2017,25.24,All,All,35-64 years,All,All
2017,25.61,All,All,16-34 years,All,All
2017,25.25,All,All,65 years and over,All,All
2017,24.83,All,All,16-34 years,All,All
2017,24.92,All,All,35-64 years,All,All
2017,25.53,All,All,35-64 years,All,All
2017,25.44,All,All,65 years and over,All,All
2017,25.82,All,All,16-34 years,All,All
2017,24.4,All,All,35-64 years,All,All
2017,27.13,All,All,65 years and over,All,All
2017,25.01,All,All,65 years and over,All,All
2017,24.82,All,All,16-34 years,All,All
2017,24.63,All,All,65 years and over,All,All
